what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909840203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909843843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909847218
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272909847250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909848343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909853734
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1272909858578
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1272909863703
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272909869234
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1272909880343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909886578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272909891984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272909892937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909893578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909900265
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272909904093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272909904718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909905312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909913375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909915171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909918562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909934125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909946906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909949125
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1272909949156
